Sample,ACCUMULATION_LEVEL,READS_USED,WINDOW_SIZE,TOTAL_CLUSTERS,ALIGNED_READS,AT_DROPOUT,GC_DROPOUT,GC_NC_0_19,GC_NC_20_39,GC_NC_40_59,GC_NC_60_79,GC_NC_80_100,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,ALL,100,99142218,199119970,34.471568,0.000011,0.037941,0.345691,1.333531,4.524922,3.526925,,,
CAP41WGS_MO026,All Reads,UNIQUE,100,50179828,100812279,32.346647,0.000011,0.057183,0.384853,1.314473,4.29895,3.969096,,,
CAP41WGS_MO028,All Reads,ALL,100,99381881,199674952,33.373505,0.000011,0.034679,0.360851,1.33217,4.390304,3.152669,,,
CAP41WGS_MO028,All Reads,UNIQUE,100,44369440,89171665,31.876944,0.00001,0.054224,0.390742,1.309976,4.287365,3.773226,,,
CAP41WGS_MO029,All Reads,ALL,100,99683085,199857774,30.059576,0.000011,0.06536,0.420448,1.30986,3.996833,2.973864,,,
CAP41WGS_MO029,All Reads,UNIQUE,100,46690766,93628281,26.894724,0.000007,0.105604,0.481078,1.275336,3.700813,3.381617,,,
CAP41WGS_MO030,All Reads,UNIQUE,100,57741857,115645680,31.869647,0.000009,0.056508,0.391549,1.309273,4.279667,4.07172,,,
CAP41WGS_MO030,All Reads,ALL,100,99081794,198428627,33.821629,0.000009,0.041482,0.356841,1.322764,4.51148,3.776389,,,
CAP41WGS_MO031,All Reads,UNIQUE,100,45888475,91960480,30.842513,0.000008,0.071699,0.410296,1.300545,4.175374,3.849752,,,
CAP41WGS_MO031,All Reads,ALL,100,99068646,198501629,33.123185,0.000009,0.044999,0.367766,1.322399,4.410668,3.34645,,,
CAP41WGS_MO032,All Reads,UNIQUE,100,50123080,100363210,29.219969,0.000009,0.082625,0.437918,1.292323,3.979441,3.420983,,,
CAP41WGS_MO032,All Reads,ALL,100,99117516,198446472,31.923536,0.000106,0.053807,0.38837,1.315452,4.269685,3.166056,,,
CAP41WGS_MO033,All Reads,ALL,100,99792795,199759032,31.745972,0.000012,0.058481,0.392614,1.311092,4.265564,3.314524,,,
CAP41WGS_MO033,All Reads,UNIQUE,100,50384911,100863097,29.121318,0.000012,0.089222,0.44161,1.286421,3.9945,3.645878,,,
CAP41WGS_MO034,All Reads,UNIQUE,100,54279522,108907492,34.451864,0.000007,0.056959,0.354884,1.300711,4.734405,4.47221,,,
CAP41WGS_MO034,All Reads,ALL,100,99555368,199712133,36.768129,0.000005,0.039409,0.315313,1.310991,5.049691,4.124044,,,
CAP41WGS_MO035,All Reads,ALL,100,99910043,200697214,32.945695,0.00001,0.059241,0.374112,1.309168,4.464706,3.835997,,,
CAP41WGS_MO035,All Reads,UNIQUE,100,48568604,97586887,30.108955,0.000008,0.091906,0.425604,1.287064,4.139971,4.273167,,,
CAP41WGS_MO036,All Reads,UNIQUE,100,35299939,70924328,28.797173,0.00001,0.107022,0.448444,1.279576,3.988323,3.697241,,,
CAP41WGS_MO036,All Reads,ALL,100,99081161,199002659,31.913841,0.000011,0.056493,0.388353,1.31503,4.274013,3.147301,,,
CAP41WGS_MO037,All Reads,ALL,100,98596533,197479763,33.646951,0.00001,0.043703,0.35938,1.324339,4.475827,3.453622,,,
CAP41WGS_MO037,All Reads,UNIQUE,100,51358908,102879014,31.630148,0.00001,0.064681,0.3965,1.30579,4.265221,3.912525,,,
CAP41WGS_MO038,All Reads,UNIQUE,100,46927083,94044755,29.336551,0.000006,0.080617,0.434279,1.298794,3.949781,3.577257,,,
CAP41WGS_MO038,All Reads,ALL,100,99153395,198677750,31.818298,0.000009,0.051064,0.387984,1.322633,4.201588,3.221912,,,
CAP41WGS_MO039,All Reads,ALL,100,99395175,199111342,31.586328,0.000009,0.056622,0.392864,1.318402,4.195445,3.075717,,,
CAP41WGS_MO039,All Reads,UNIQUE,100,37330650,74794193,28.295662,0.000009,0.1046,0.454838,1.283085,3.891416,3.524901,,,
CAP41WGS_MO040,All Reads,UNIQUE,100,38588146,77342899,27.46743,0.00001,0.107432,0.470839,1.273498,3.816826,3.752115,,,
CAP41WGS_MO040,All Reads,ALL,100,98978689,198349114,30.829159,0.000011,0.060427,0.406723,1.310496,4.127487,3.231602,,,
CAP41WGS_PC,All Reads,ALL,100,83821838,167693388,40.960091,0,0.031554,0.262736,1.215886,6.393831,11.270137,,,
CAP41WGS_PC,All Reads,UNIQUE,100,54635857,109303006,39.064243,0,0.03849,0.288155,1.232414,5.978503,10.678662,,,
