Sample,MEDIAN_INSERT_SIZE,MODE_INSERT_SIZE,MEDIAN_ABSOLUTE_DEVIATION,MIN_INSERT_SIZE,MAX_INSERT_SIZE,MEAN_INSERT_SIZE,STANDARD_DEVIATION,READ_PAIRS,PAIR_ORIENTATION,WIDTH_OF_10_PERCENT,WIDTH_OF_20_PERCENT,WIDTH_OF_30_PERCENT,WIDTH_OF_40_PERCENT,WIDTH_OF_50_PERCENT,WIDTH_OF_60_PERCENT,WIDTH_OF_70_PERCENT,WIDTH_OF_80_PERCENT,WIDTH_OF_90_PERCENT,WIDTH_OF_95_PERCENT,WIDTH_OF_99_PERCENT,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,165,166,12,2,226062977,162.189303,23.594564,49704939,FR,5,9,13,19,25,33,43,55,85,117,291,,,
CAP41WGS_MO028,168,167,12,2,248679824,166.524306,24.022807,43879502,FR,5,9,15,19,25,35,45,57,87,131,333,,,
CAP41WGS_MO029,167,166,11,2,227848005,164.840532,21.942754,46382394,FR,5,9,13,17,23,31,41,53,79,117,315,,,
CAP41WGS_MO030,168,167,11,2,227834549,166.064903,22.439803,57554226,FR,5,9,13,19,23,31,41,53,77,109,281,,,
CAP41WGS_MO031,168,166,11,3,248678214,166.711487,21.524898,45688041,FR,5,9,13,17,23,29,39,51,75,113,319,,,
CAP41WGS_MO032,168,167,11,2,242919174,167.35483,21.50143,49974902,FR,5,9,13,17,23,31,39,51,75,115,321,,,
CAP41WGS_MO033,166,166,12,3,235817649,164.545923,23.337017,50252569,FR,5,9,13,19,25,33,43,55,83,119,315,,,
CAP41WGS_MO034,166,166,12,2,242323036,164.316927,23.452312,53926922,FR,5,9,13,19,25,33,43,55,83,119,309,,,
CAP41WGS_MO035,167,166,13,3,242608544,165.990382,25.242103,48065309,FR,5,9,15,19,27,35,45,59,89,127,325,,,
CAP41WGS_MO036,167,166,13,2,242923359,165.883296,25.937336,34869817,FR,5,9,15,21,27,35,47,61,95,149,351,,,
CAP41WGS_MO037,167,166,12,2,242923653,165.375661,23.086052,51182646,FR,5,9,13,19,25,33,43,55,81,119,319,,,
CAP41WGS_MO038,167,166,11,2,244565964,165.399802,21.563442,46679060,FR,5,9,13,17,23,31,39,51,73,107,295,,,
CAP41WGS_MO039,167,166,12,3,218051537,164.862693,23.60402,37151005,FR,5,9,13,19,25,33,43,57,85,125,329,,,
CAP41WGS_MO040,168,167,12,3,248678178,167.230884,24.135552,38351871,FR,5,9,13,19,25,33,43,57,89,135,347,,,
CAP41WGS_PC,137,122,27,3,240496557,144.457206,42.416953,54532554,FR,11,21,33,43,55,67,81,99,131,177,273,,,
