Sample,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
CAP41WGS_MO026,197890478,196077482,145,28849429806,28580414992,28595689780,28332835157,27655901052,27405840427,56553665841,56035420642
CAP41WGS_MO028,198350854,196342064,146,29122484877,28824089617,28856181272,28564415563,27869065336,27591511718,57042434090,56467290077
CAP41WGS_MO029,199096278,197868654,146,29235961305,29054371924,28975836326,28799715374,28025976060,27859536445,57308769373,56961812368
CAP41WGS_MO030,198008966,197274838,146,29037989907,28929934449,28782664765,28679033010,27840623167,27743828139,56926521882,56722737488
CAP41WGS_MO031,197942044,197032732,147,29166563113,29032338287,28899249124,28769687340,27915480497,27793696246,57131701542,56876702066
CAP41WGS_MO032,198097370,197458366,147,29203017141,29109139012,28935570179,28845979981,27935004765,27851840344,57190966039,57014997012
CAP41WGS_MO033,199462442,198883776,146,29215088281,29130363564,28956899680,28876577803,28004444666,27930240556,57267950232,57110219710
CAP41WGS_MO034,198806542,197441972,146,29087910320,28885863117,28827491862,28630795377,27867386598,27681063333,57004018511,56616516980
CAP41WGS_MO035,199384728,197438522,146,29196830309,28907941951,28945064840,28662473782,28037570793,27767928267,57277357025,56719701014
CAP41WGS_MO036,197637768,195614278,146,28950802598,28650660703,28682175741,28388632306,27703654192,27424084714,56702345363,56123469411
CAP41WGS_MO037,197031292,196259640,146,28889209497,28775619664,28640463205,28531282975,27721743083,27619404083,56657815799,56442944386
CAP41WGS_MO038,198026268,197030898,147,29110240163,28963491787,28855241852,28713211623,27909746004,27775702126,57068765547,56788971487
CAP41WGS_MO039,198582822,197694142,146,29099215508,28968327755,28833572114,28707529124,27864391738,27746145304,57011268726,56763240298
CAP41WGS_MO040,197712830,196645786,146,29055486813,28897892243,28781179382,28628762666,27778847184,27635342749,56883858905,56583825864
CAP41WGS_PC,167485316,167120896,130,21938731903,21887049358,21756278838,21708568657,21081338785,21038311224,43054674438,42961212794
