Sample,Human,¦Ë-DNA,pUC19,Human_unmap
CAP41WGS_MO026-preflight-R1,96.12249385,0.053692862,0.005960308,3.877506147
CAP41WGS_MO026-preflight-R2,94.69868137,0.052691129,0.005810048,5.301318631
CAP41WGS_MO028-preflight-R1,97.19717393,0.042432984,0.004398236,2.802826067
CAP41WGS_MO028-preflight-R2,95.51349909,0.040283846,0.004248296,4.486500913
CAP41WGS_MO029-preflight-R1,97.21731213,0.085913437,0.010072266,2.782687869
CAP41WGS_MO029-preflight-R2,96.0549128,0.084018655,0.009623502,3.945087202
CAP41WGS_MO030-preflight-R1,96.99346405,0.03951619,0.004908221,3.006535948
CAP41WGS_MO030-preflight-R2,96.03255453,0.038163925,0.004858137,3.967445471
CAP41WGS_MO031-preflight-R1,97.78412249,0.052517742,0.006771629,2.215877513
CAP41WGS_MO031-preflight-R2,96.80685108,0.051012935,0.006470667,3.193148918
CAP41WGS_MO032-preflight-R1,97.93078485,0.063621109,0.007369821,2.069215154
CAP41WGS_MO032-preflight-R2,97.07302791,0.062417873,0.007319686,2.926972091
CAP41WGS_MO033-preflight-R1,96.94432663,0.06985959,0.006961098,3.055673369
CAP41WGS_MO033-preflight-R2,96.11874042,0.067920427,0.006662765,3.881259581
CAP41WGS_MO034-preflight-R1,96.61483386,0.046306588,0.005183945,3.38516614
CAP41WGS_MO034-preflight-R2,95.38554098,0.045558904,0.005233791,4.61445902
CAP41WGS_MO035-preflight-R1,96.64421754,0.07270315,0.008851683,3.355782461
CAP41WGS_MO035-preflight-R2,95.15469808,0.070415636,0.008801955,4.845301919
CAP41WGS_MO036-preflight-R1,96.57553152,0.084363325,0.010689702,3.424468476
CAP41WGS_MO036-preflight-R2,95.0742056,0.080599346,0.010238024,4.9257944
CAP41WGS_MO037-preflight-R1,97.06692323,0.032221101,0.003524183,2.933076773
CAP41WGS_MO037-preflight-R2,96.18537404,0.031868683,0.003574528,3.814625963
CAP41WGS_MO038-preflight-R1,97.50048255,0.050034468,0.006617785,2.499517453
CAP41WGS_MO038-preflight-R2,96.55499154,0.049382716,0.006417246,3.44500846
CAP41WGS_MO039-preflight-R1,97.09873341,0.049322232,0.006446371,2.901266587
CAP41WGS_MO039-preflight-R2,96.13202767,0.048072935,0.006246483,3.867972332
CAP41WGS_MO040-preflight-R1,97.1857618,0.083303057,0.010437973,2.814238199
CAP41WGS_MO040-preflight-R2,96.12450093,0.080593198,0.010136878,3.875499066
CAP41WGS_PC-preflight-R1,72.65568774,0.20286863,0.028270211,27.34431226
CAP41WGS_PC-preflight-R2,71.43135863,0.19953394,0.027822268,28.56864137
